item,sweep,seed,model_size,epochs,batch_size,lr,drop_rate,weight_decay,balanced,train_accuracy,val_accuracy,test_accuracy,train_loss,val_loss,test_loss,time_minutes
26,epochs,42,gpt2-medium (355M),8,8,5e-05,0.0,0.1,1,1.0,1.0,1.0,0.00085,0.003157,0.001144,0.587439
27,epochs,123,gpt2-medium (355M),8,8,5e-05,0.0,0.1,1,1.0,0.95,0.987013,0.00119,0.12181,0.035657,0.587691
28,epochs,456,gpt2-medium (355M),8,8,5e-05,0.0,0.1,1,1.0,1.0,1.0,0.000697,0.003031,0.001475,0.587785
29,epochs,789,gpt2-medium (355M),8,8,5e-05,0.0,0.1,1,1.0,1.0,1.0,0.000886,0.009115,0.002945,0.587359
30,lr,42,gpt2-medium (355M),5,8,1e-05,0.0,0.1,1,0.175,0.225,0.17316,1.90295,1.893807,1.907827,0.390188
31,epochs,1024,gpt2-medium (355M),8,8,5e-05,0.0,0.1,1,1.0,1.0,1.0,0.001198,0.004779,0.001726,0.572758
32,lr,123,gpt2-medium (355M),5,8,1e-05,0.0,0.1,1,0.325,0.25,0.337662,1.781141,1.825693,1.81452,0.369502
33,lr,456,gpt2-medium (355M),5,8,1e-05,0.0,0.1,1,0.25,0.5,0.25974,1.835009,1.78106,1.827122,0.372099
34,lr,789,gpt2-medium (355M),5,8,1e-05,0.0,0.1,1,0.2,0.4,0.320346,1.849673,1.809237,1.791505,0.372619
35,lr,1024,gpt2-medium (355M),5,8,1e-05,0.0,0.1,1,0.25,0.25,0.17316,1.82752,1.900562,1.888444,0.378055
36,lr,42,gpt2-medium (355M),5,8,0.0001,0.0,0.1,1,1.0,1.0,1.0,0.000634,0.002303,0.000819,0.386628
37,lr,123,gpt2-medium (355M),5,8,0.0001,0.0,0.1,1,1.0,0.95,0.987013,0.000788,0.09962,0.028605,0.387982
38,lr,456,gpt2-medium (355M),5,8,0.0001,0.0,0.1,1,1.0,1.0,1.0,0.000868,0.002274,0.001005,0.385613
39,lr,789,gpt2-medium (355M),5,8,0.0001,0.0,0.1,1,1.0,1.0,1.0,0.000925,0.008668,0.002792,0.385841
40,lr,1024,gpt2-medium (355M),5,8,0.0001,0.0,0.1,1,1.0,1.0,1.0,0.001729,0.008648,0.002863,0.397383
41,drop_rate,42,gpt2-medium (355M),5,8,5e-05,0.05,0.1,1,1.0,1.0,1.0,0.011716,0.025869,0.009026,0.401109
42,drop_rate,456,gpt2-medium (355M),5,8,5e-05,0.05,0.1,1,1.0,1.0,1.0,0.018318,0.015285,0.014277,0.396566
43,drop_rate,123,gpt2-medium (355M),5,8,5e-05,0.05,0.1,1,1.0,0.95,0.987013,0.009317,0.087031,0.02792,0.39752
44,drop_rate,789,gpt2-medium (355M),5,8,5e-05,0.05,0.1,1,1.0,0.95,0.987013,0.042817,0.057646,0.023832,0.395873
45,drop_rate,1024,gpt2-medium (355M),5,8,5e-05,0.05,0.1,1,1.0,1.0,1.0,0.037504,0.039066,0.024749,0.396762
46,drop_rate,123,gpt2-medium (355M),5,8,5e-05,0.1,0.1,1,1.0,1.0,1.0,0.027832,0.065212,0.032285,0.397212
47,drop_rate,42,gpt2-medium (355M),5,8,5e-05,0.1,0.1,1,1.0,1.0,1.0,0.031156,0.046809,0.015475,0.400066
48,drop_rate,789,gpt2-medium (355M),5,8,5e-05,0.1,0.1,1,1.0,0.95,0.987013,0.07457,0.108043,0.039047,0.395577
49,drop_rate,456,gpt2-medium (355M),5,8,5e-05,0.1,0.1,1,1.0,1.0,1.0,0.035903,0.032273,0.026775,0.401052
50,drop_rate,1024,gpt2-medium (355M),5,8,5e-05,0.1,0.1,1,1.0,1.0,0.991342,0.098246,0.108604,0.061714,0.383762
51,weight_decay,42,gpt2-medium (355M),5,8,5e-05,0.0,0.05,1,1.0,1.0,1.0,0.004527,0.01403,0.004378,0.389944
52,weight_decay,123,gpt2-medium (355M),5,8,5e-05,0.0,0.05,1,1.0,0.95,0.987013,0.005203,0.105149,0.029955,0.367972
53,weight_decay,456,gpt2-medium (355M),5,8,5e-05,0.0,0.05,1,1.0,1.0,1.0,0.008407,0.01056,0.006492,0.373912
54,weight_decay,789,gpt2-medium (355M),5,8,5e-05,0.0,0.05,1,1.0,1.0,1.0,0.012941,0.03246,0.009314,0.370252
55,weight_decay,1024,gpt2-medium (355M),5,8,5e-05,0.0,0.05,1,1.0,1.0,1.0,0.016022,0.022404,0.008928,0.373801
56,weight_decay,42,gpt2-medium (355M),5,8,5e-05,0.0,0.2,1,1.0,1.0,1.0,0.004804,0.014837,0.004657,0.370024
57,weight_decay,123,gpt2-medium (355M),5,8,5e-05,0.0,0.2,1,1.0,0.95,0.987013,0.005501,0.108012,0.030478,0.374787
58,weight_decay,456,gpt2-medium (355M),5,8,5e-05,0.0,0.2,1,1.0,1.0,1.0,0.00892,0.011201,0.006888,0.367043
59,weight_decay,789,gpt2-medium (355M),5,8,5e-05,0.0,0.2,1,1.0,1.0,1.0,0.013448,0.032449,0.009369,0.373051
60,weight_decay,1024,gpt2-medium (355M),5,8,5e-05,0.0,0.2,1,1.0,1.0,1.0,0.0168,0.023473,0.009363,0.367948
61,balance_dataset,42,gpt2-medium (355M),5,8,5e-05,0.0,0.1,0,1.0,1.0,1.0,0.003467,0.010988,0.003555,0.388193
